KUPKBPK-KB-0102,The Naked Face,Sidney,Sheldon,"Sheldon, Sidney",Warner Books,New York,1984,,823,Fiksi,823 SHE t,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0103,Apakah Kau Takut Gelap?,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2005,,823,Fiksi,823 SHE a,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0104,Kincir Angin Para Dewa,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2005,,823,Fiksi,823 SHE k,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0105,Butir-Butir Waktu,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2005,,823,Fiksi,823 SHE b,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0106,Lewat Tengah Malam,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2005,,823,Fiksi,823 SHE l,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0107,Sisi Lain Diriku,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2007,,823,Fiksi,823 SHE s,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0108,Kilau Bintang Menerangi Bumi,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2007,,823,Fiksi,823 SHE k,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0109,Konspirasi Hari Kiamat,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2002,,823,Fiksi,823 SHE k,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0110,Bila Esok Tiba,Sidney,Sheldon,"Sheldon, Sidney",Gramedia Pustaka Utama,Jakarta,2001,,823,Fiksi,823 SHE b,,Novel,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0111,Outliers rahasia dibalik sukses,Malcolm ,Gladwell,"Gladwell, Malcolm ",Gramedia, Jakarta,2009,,332,Investasi,332 GLA o,,,,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0112,Memoar Sultan Abdul Hamid II,Muhammad,Harb,"Harb, Muhammad",Pustaka Al-Kautsar,Jakarta,2013,,920,Biografi,920 HAR m,,Ilmu Sosial,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0113,Build the best of your life,Hermanto,Kosasih,"Kosasih, Hermanto",PT.Elex media komputindo,Jakarta,2011,9789792244762,658.3,Manajemen SDM,658.3 KOS b,Beli,Soft Skill,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0114,"Zoom In, Zoom Out Your Views",Kun Wahyu,Wardana,"Wardana, Kun Wahyu",Gramedia Pustaka Utama,Jakarta,2017,,658.3,Manajemen SDM,658.3 WAR z,Beli,Soft Skill,V,,#REF!,,,,,,,,,,,,
KUPKBPK-KB-0116,Sussman,Paul,,Paul,Pustaka Alvabet,Tangerang,2008,,813,Fiksi,813 SUS t,Beli,Novel,V,,#REF!,,,,,,,,,,,,
